appid,title,total_reviews,review_percent
250620,Among the Sleep - Enhanced Edition,8061,88.72
249330,Unholy Heights,1633,89.1
250680,BELOW,1340,70.6
250760,Shovel Knight: Treasure Trove,16560,95.62
250320,The Wolf Among Us,38683,97.87
250820,SteamVR,80951,86.8
251060,Wargame: Red Dragon,19595,88.54
251130,Chroma Squad,4527,93.28
251150,The Legend of Heroes: Trails in the Sky,10204,93.95
251270,Corpse Party,1364,88.93
251430,The Inner World,1487,88.84
251470,TowerFall Ascension,3543,94.92
251570,7 Days to Die,395924,87.16
251630,The Impossible Game,1486,84.19
251670,Battle Nations,1789,72.89
251730,Legend of Grimrock 2,3978,90.8
251870,Go! Go! Nippon! ~My First Trip to Japan~,3126,86.4
251290,The Legend of Heroes: Trails in the Sky SC,4195,97.76
250900,The Binding of Isaac: Rebirth,384197,97.24
251990,Long Live The Queen,7113,94.85
251110,INFRA,3538,88.36
252110,Lovers in a Dangerous Spacetime,4010,93.04
252030,Valdis Story: Abyssal City,2710,83.87
252130,Divide By Sheep,2654,90.73
252410,SteamWorld Dig,10586,93.62
252470,Space Pirates And Zombies 2,2825,78.97
252490,Rust,1338767,87.03
252530,OMSI 2: Steam Edition,14318,85.49
252610,Death Road to Canada,10107,92.83
252630,Eldritch,2215,87.81
252670,Nihilumbra,2979,88.45
253030,Race The Sun,6339,93.47
253110,The Cat Lady,6064,93.91
253150,Halfway,1011,72.21
253230,A Hat in Time,52852,97.83
253250,Stonehearth,12956,75.38
253330,Neverending Nightmares,2984,76.34
252350,Double Dragon: Neon,2533,76.94
253430,CastleMiner Z,11079,81.15
252330,Slender: The Arrival,9217,88.12
253650,Sparkle 2 Evo,2006,72.28
253750,Ikaruga,2301,94.7
253840,Shantae: Half-Genie Hero,2418,90.2
253880,Earth 2150 Trilogy,1000,78.6
253900,Knights and Merchants,4905,85.24
253920,Gorky 17,2160,80.74
253940,Septerra Core,1306,77.41
253980,Enclave,6595,79.64
254060,KnightShift,1423,70.41
254200,FortressCraft Evolved!,3054,72.17
254320,Duskers,2738,90.5
254440,Pool Nation,2849,89.36
254460,Obscure,3060,95.56
254480,Obscure II (Obscure: The Aftermath),1543,81.79
254700,Resident Evil 4 (2005),91159,93.86
254960,Silent Storm Gold Edition,1060,88.49
255280,1954 Alcatraz,1801,73.01
255300,Journey of a Roach,2030,89.31
255320,Edna & Harvey: The Breakout,1762,85.98
255520,Viscera Cleanup Detail: Shadow Warrior,4575,80.52
255390,Max: The Curse of Brotherhood,1615,94.49
255710,Cities: Skylines,285937,92.91
256330,WRC 4 FIA World Rally Championship,2263,76.62
256290,Child of Light,13401,91.45
256370,MXGP - The Official Motocross Videogame,1622,80.89
256460,Cosmic Star Heroine,1019,88.91
257030,Project Nimbus: Complete Edition,1670,84.85
257170,Rebuild 3: Gangs of Deadsville,2018,86.08
257350,Baldur's Gate II: Enhanced Edition,10563,92.26
257420,Serious Sam 4,17151,83.5
257510,The Talos Principle,32621,95.36
257730,Infinity Wars: Animated Trading Card Game,3463,77.1
257750,Bloody Trapland,4028,82.05
257850,Hyper Light Drifter,18443,92.96
257990,Oozi: Earth Adventure,1033,86.35
258760,Scania Truck Driving Simulator,1960,81.33
258520,The Vanishing of Ethan Carter,8928,88.28
258970,Gauntlet™ Slayer Edition,10184,81.95
258890,Type:Rider,1690,79.53
259060,Dominions 4: Thrones of Ascension,1449,90.55
259080,Just Cause 2: Multiplayer Mod,14666,91.56
259340,Chicken Shoot Gold,1045,71.1
